frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"76","1714740792.775216000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1111","eth:ethertype:ip:udp:data"
"77","1714740792.777921000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1393","eth:ethertype:ip:udp:data"
"78","1714740792.778042000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"79","1714740792.778089000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"80","1714740792.778139000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"81","1714740792.778139000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"82","1714740792.778139000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","942","eth:ethertype:ip:udp:data"
"83","1714740792.778139000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1391","eth:ethertype:ip:udp:data"
"84","1714740792.778139000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"85","1714740792.778187000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"86","1714740792.778187000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","666","eth:ethertype:ip:udp:data"
"87","1714740792.778237000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"88","1714740792.778267000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","86","eth:ethertype:ip:udp:data"
"89","1714740792.779924000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","143","eth:ethertype:ip:udp:data"
"90","1714740792.779985000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"91","1714740792.780654000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","89","eth:ethertype:ip:udp:data"
"92","1714740792.781282000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","245","eth:ethertype:ip:udp:data"
"93","1714740792.781283000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","170","eth:ethertype:ip:udp:data"
"94","1714740792.781403000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"95","1714740792.783035000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","224","eth:ethertype:ip:udp:data"
"96","1714740792.783035000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","86","eth:ethertype:ip:udp:data"
"97","1714740792.783162000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"98","1714740792.783795000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","151","eth:ethertype:ip:udp:data"
"99","1714740792.783998000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","86","eth:ethertype:ip:udp:data"
"100","1714740792.784053000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.110","17","75","eth:ethertype:ip:udp:data"
"101","1714740792.785189000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.110","172.16.31.14","17","193","eth:ethertype:ip:udp:data"
