frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len
"61","1713960076.685869000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"62","1713960076.686111000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"63","1713960076.686111000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"64","1713960076.686111000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"65","1713960076.686158000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"66","1713960076.686158000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"67","1713960076.686158000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"68","1713960076.686159000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"69","1713960076.686225000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"70","1713960076.686739000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"71","1713960076.687463000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"72","1713960076.687644000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"73","1713960076.687644000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"74","1713960076.687644000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"75","1713960076.687708000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"76","1713960076.687708000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","102"
"77","1713960076.688052000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"78","1713960076.839225000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","299"
"79","1713960076.842756000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","72"
"80","1713960076.844601000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1395"
"81","1713960076.844601000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"82","1713960076.844637000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"83","1713960076.844637000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"84","1713960076.844686000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"85","1713960076.844686000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"86","1713960076.844686000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"87","1713960076.844686000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"88","1713960076.844745000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"89","1713960076.844745000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"90","1713960076.844877000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"91","1713960076.844877000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"92","1713960076.844936000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"93","1713960076.844936000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"94","1713960076.844936000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"95","1713960076.844936000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"96","1713960076.844937000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"97","1713960076.844951000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","78"
"98","1713960076.844993000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"99","1713960076.844993000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"100","1713960076.844993000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"101","1713960076.844993000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"102","1713960076.845089000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"103","1713960076.846844000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"104","1713960076.846844000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"105","1713960076.846845000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"106","1713960076.846845000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1020"
"107","1713960076.846886000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1392"
"108","1713960076.846886000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"109","1713960076.846886000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"110","1713960076.846937000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"111","1713960076.846937000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"112","1713960076.846937000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"113","1713960076.846937000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"114","1713960076.846938000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"115","1713960076.846968000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"116","1713960076.846987000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"117","1713960076.846988000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
