requestStart,requestEnd,duration,durationNetto,downLinkBytes,downLinkPackets,upLinkBytes,upLinkPackets,port,requestSize,protocol,stalling,qc,qcFrom,qcTo,phase,bhfirst,bhlast,bhmin,bhmax,bhmean,bhstd,videoid
2020-02-14 09:06:08.296531916,2020-02-14 09:06:13.263037205,0 days 00:00:04.966505289,0 days 00:00:04.933069944,179757.0,135,2910.0,76,38471.0,758.0,udpnew,0,0,278,0,filling,35944,39842,35944,39842,37874.6,1394.476532609997,jcgcswfv-6A
2020-02-14 09:06:13.263378859,2020-02-14 09:06:17.233855963,0 days 00:00:03.970477104,0 days 00:00:03.958570241,145449.0,112,2294.0,60,38471.0,740.0,udpnew,0,0,278,0,filling,40835,43677,40452,43677,41613.75,1440.8542315816221,jcgcswfv-6A
2020-02-14 09:06:17.233855963,2020-02-14 09:06:17.248608112,0 days 00:00:00.014752149,0 days 00:00:00.005198002,1387.0,2,48.0,1,38471.0,747.0,udpnew,0,0,278,0,filling,43677,43677,43677,43677,43677.0,0.0,jcgcswfv-6A
2020-02-14 09:06:17.248608112,2020-02-14 09:06:19.813261986,0 days 00:00:02.564653874,0 days 00:00:02.539685965,93731.0,70,1512.0,39,38471.0,757.0,udpnew,0,0,278,0,filling,47319,50436,47319,50436,48618.666666666664,1621.698595095073,jcgcswfv-6A
2020-02-14 09:06:19.813261986,2020-02-14 09:06:21.035514832,0 days 00:00:01.222252846,0 days 00:00:01.201665163,44843.0,34,683.0,18,38471.0,750.0,udpnew,0,0,278,0,filling,53683,53683,53683,53683,53683.0,0.0,jcgcswfv-6A
2020-02-14 09:06:21.035514832,2020-02-14 09:06:22.337171793,0 days 00:00:01.301656961,0 days 00:00:01.280276298,47559.0,36,751.0,20,38471.0,751.0,udpnew,0,0,278,0,filling,53702,53702,53702,53702,53702.0,0.0,jcgcswfv-6A
2020-02-14 09:06:22.337171793,2020-02-14 09:06:24.005854130,0 days 00:00:01.668682337,0 days 00:00:01.650703192,61138.0,46,949.0,25,38471.0,740.0,udpnew,0,0,278,0,filling,56685,58743,56685,58743,57714.0,1455.2257556819147,jcgcswfv-6A
2020-02-14 09:06:24.005854130,2020-02-14 09:06:25.423641920,0 days 00:00:01.417787790,0 days 00:00:01.395915746,51662.0,40,838.0,22,38471.0,758.0,udpnew,0,0,278,0,filling,60664,60664,60664,60664,60664.0,0.0,jcgcswfv-6A
2020-02-14 09:06:25.423641920,2020-02-14 09:06:27.519232035,0 days 00:00:02.095590115,0 days 00:00:02.076060057,89715.0,69,1359.0,36,38471.0,740.0,udpnew,0,0,278,0,filling,63187,65478,63187,65478,64332.5,1619.9816356983804,jcgcswfv-6A
2020-02-14 09:06:27.519232035,2020-02-14 09:06:28.464042902,0 days 00:00:00.944810867,0 days 00:00:00.939181089,58423.0,44,912.0,24,38471.0,751.0,udpnew,0,0,278,0,filling,67656,67656,67656,67656,67656.0,0.0,jcgcswfv-6A
2020-02-14 09:06:28.464042902,2020-02-14 09:06:29.479185820,0 days 00:00:01.015142918,0 days 00:00:00.998620033,61168.0,47,875.0,23,38471.0,740.0,udpnew,0,0,278,0,filling,69999,69999,69999,69999,69999.0,0.0,jcgcswfv-6A
2020-02-14 09:06:29.479185820,2020-02-14 09:06:32.300502062,0 days 00:00:02.821316242,0 days 00:00:02.794728994,170618.0,131,2516.0,66,38471.0,758.0,udpnew,0,0,278,0,filling,75341,78386,75341,78386,77104.33333333333,1578.6096203093828,jcgcswfv-6A
2020-02-14 09:06:32.300502062,2020-02-14 09:06:32.306111097,0 days 00:00:00.005609035,0 days 00:00:00.004209041,1387.0,2,48.0,1,38471.0,740.0,udpnew,0,0,278,0,filling,78386,78386,78386,78386,78386.0,0.0,jcgcswfv-6A
2020-02-14 09:06:32.306111097,2020-02-14 09:06:35.488272905,0 days 00:00:03.182161808,0 days 00:00:03.161180973,193158.0,145,2721.0,72,38471.0,751.0,udpnew,0,0,278,0,filling,82137,84324,82137,84324,83356.33333333333,1115.0086696224982,jcgcswfv-6A
2020-02-14 09:06:35.488272905,2020-02-14 09:06:35.500847100,0 days 00:00:00.012574195,0 days 00:00:00.004212141,1473.0,2,85.0,2,38471.0,748.0,udpnew,0,0,278,0,filling,84324,84324,84324,84324,84324.0,0.0,jcgcswfv-6A
2020-02-14 09:06:35.500847100,2020-02-14 09:06:38.173633814,0 days 00:00:02.672786714,0 days 00:00:02.651166917,157676.0,120,2220.0,59,38471.0,751.0,udpnew,0,0,278,0,filling,88241,91764,88241,91764,90177.0,1787.2417295933978,jcgcswfv-6A
2020-02-14 09:06:38.189599037,2020-02-14 09:06:40.369171858,0 days 00:00:02.179572821,0 days 00:00:02.163300753,130570.0,100,1890.0,50,38471.0,751.0,udpnew,0,0,278,0,filling,96643,101105,96643,101105,98874.0,3155.110457654375,jcgcswfv-6A
2020-02-14 09:06:40.369171858,2020-02-14 09:06:40.525511026,0 days 00:00:00.156339168,0 days 00:00:00.140614985,9535.0,8,159.0,4,38471.0,747.0,udpnew,0,0,278,0,filling,101105,101105,101105,101105,101105.0,0.0,jcgcswfv-6A
2020-02-14 09:06:40.525511026,2020-02-14 09:06:43.589894056,0 days 00:00:03.064383030,0 days 00:00:03.039596796,185748.0,141,2603.0,69,38471.0,758.0,udpnew,0,0,278,0,filling,103124,106101,103124,106101,104844.33333333333,1541.71084621382,jcgcswfv-6A
2020-02-14 09:06:43.589894056,2020-02-14 09:06:43.606006145,0 days 00:00:00.016112089,0 days 00:00:00.014144898,2745.0,3,48.0,1,38471.0,747.0,udpnew,0,0,278,0,filling,106101,106101,106101,106101,106101.0,0.0,jcgcswfv-6A
2020-02-14 09:06:43.606006145,2020-02-14 09:06:46.257401943,0 days 00:00:02.651395798,0 days 00:00:02.628138781,160105.0,120,2264.0,60,38471.0,758.0,udpnew,0,0,278,0,filling,109729,113515,109729,113515,111975.0,1989.2903257191997,jcgcswfv-6A
2020-02-14 09:06:46.257401943,2020-02-14 09:06:46.270089865,0 days 00:00:00.012687922,0 days 00:00:00.004025935,1473.0,2,85.0,2,38471.0,740.0,udpnew,0,0,278,0,depletion,113515,113515,113515,113515,113515.0,0.0,jcgcswfv-6A
2020-02-14 09:06:46.270089865,2020-02-14 09:06:49.309534073,0 days 00:00:03.039444208,0 days 00:00:02.973010301,181766.0,137,2566.0,68,38471.0,752.0,udpnew,0,0,278,0,depletion,118112,120826,118112,120826,119353.0,1371.7933517844442,jcgcswfv-6A
2020-02-14 09:06:49.309534073,2020-02-14 09:06:49.396034956,0 days 00:00:00.086500883,0 days 00:00:00.074234962,3652.0,6,121.0,3,38471.0,746.0,udpnew,0,0,278,0,depletion,120826,120826,120826,120826,120826.0,0.0,jcgcswfv-6A
2020-02-14 09:06:49.396034956,2020-02-14 09:06:50.431606054,0 days 00:00:01.035571098,0 days 00:00:00.984174013,60679.0,47,912.0,24,38471.0,761.0,udpnew,0,0,278,0,depletion,461,461,461,461,461.0,0.0,jcgcswfv-6A
2020-02-14 09:06:50.431606054,2020-02-14 09:06:51.457510948,0 days 00:00:01.025904894,0 days 00:00:01.005311013,62773.0,48,949.0,25,38471.0,754.0,udpnew,0,0,278,0,depletion,33562,33562,33562,33562,33562.0,0.0,jcgcswfv-6A
2020-02-14 09:06:51.457510948,2020-02-14 09:06:54.004818916,0 days 00:00:02.547307968,0 days 00:00:02.526015043,155486.0,117,2323.0,60,38471.0,754.0,udpnew,0,0,278,0,depletion,42474,48993,42474,48993,46010.666666666664,3294.6630075522644,jcgcswfv-6A
2020-02-14 09:06:54.004818916,2020-02-14 09:06:58.119875908,0 days 00:00:04.115056992,0 days 00:00:04.092665196,250823.0,188,3651.0,96,38471.0,761.0,udpnew,0,0,278,0,filling,49444,53932,49444,53932,51803.5,1881.1756076099505,jcgcswfv-6A
2020-02-14 09:06:58.119875908,2020-02-14 09:07:02.722543001,0 days 00:00:04.602667093,0 days 00:00:04.587436199,276496.0,207,3887.0,103,38471.0,754.0,udpnew,0,0,278,0,filling,55681,60508,55681,60508,57755.4,1807.5622534231013,jcgcswfv-6A
2020-02-14 09:07:02.722543001,2020-02-14 09:07:05.522830009,0 days 00:00:02.800287008,0 days 00:00:02.775704146,166271.0,126,2381.0,63,38471.0,754.0,udpnew,0,0,278,0,filling,62263,64216,62263,64216,63239.5,1380.9795436573272,jcgcswfv-6A
2020-02-14 09:07:05.522830009,2020-02-14 09:07:06.931023121,0 days 00:00:01.408193112,0 days 00:00:01.384249926,86662.0,65,1245.0,33,38471.0,754.0,udpnew,0,0,278,0,filling,68159,75156,68159,75156,71657.5,4947.626147962273,jcgcswfv-6A
2020-02-14 09:07:06.931023121,2020-02-14 09:07:49.772335052,0 days 00:00:42.841311931,0 days 00:00:19.132987738,176810.0,136,5026.0,133,38471.0,762.0,udpnew,0,1,278,242,filling,76177,62463,49797,76177,62305.46511627907,8278.42372662596,jcgcswfv-6A
2020-02-14 09:07:49.772335052,2020-02-14 09:07:52.202334166,0 days 00:00:02.429999114,0 days 00:00:02.400127888,62220.0,47,1133.0,29,38471.0,752.0,udpnew,0,0,242,0,filling,67793,70318,67793,70318,69055.5,1785.4446224960325,jcgcswfv-6A
2020-02-14 09:07:52.202334166,2020-02-14 09:07:53.394920111,0 days 00:00:01.192585945,0 days 00:00:01.161490678,62208.0,47,986.0,26,38471.0,752.0,udpnew,0,0,242,0,depletion,74801,74801,74801,74801,74801.0,0.0,jcgcswfv-6A
