frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len
"16","Apr 24, 2024 14:01:13.454151000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","610"
"17","Apr 24, 2024 14:01:13.457276000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","171"
"18","Apr 24, 2024 14:01:13.458052000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","72"
"19","Apr 24, 2024 14:01:13.458116000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","73"
"20","Apr 24, 2024 14:01:13.466760000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","294"
"21","Apr 24, 2024 14:01:13.466897000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","66"
"22","Apr 24, 2024 14:01:13.467121000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.16.142","17","78"
"23","Apr 24, 2024 14:01:13.496144000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.16.142","172.16.31.14","17","69"
"24","Apr 24, 2024 14:01:13.555366000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"25","Apr 24, 2024 14:01:14.123167000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"26","Apr 24, 2024 14:01:14.127514000 CEST","7a:42:8d:b5:3b:78","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"27","Apr 24, 2024 14:01:14.410397000 CEST","84:34:97:3c:aa:a0","09:00:09:09:13:a6",,,,"60"
"28","Apr 24, 2024 14:01:15.633891000 CEST","30:e1:71:5d:1d:b6","ff:ff:ff:ff:ff:ff","0.0.0.0","255.255.255.255","17","342"
"29","Apr 24, 2024 14:01:16.161082000 CEST","6c:03:09:ac:7d:82","01:80:c2:00:00:00",,,,"119"
"30","Apr 24, 2024 14:01:16.659948000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","82"
"31","Apr 24, 2024 14:01:16.660277000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.16.31.1","17","82"
"32","Apr 24, 2024 14:01:16.661415000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","338"
"33","Apr 24, 2024 14:01:16.661489000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.16.31.1","172.16.31.14","17","194"
"34","Apr 24, 2024 14:01:16.666259000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","1399"
"35","Apr 24, 2024 14:01:16.677717000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"36","Apr 24, 2024 14:01:16.677931000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","657"
"37","Apr 24, 2024 14:01:16.678746000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1395"
"38","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"39","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"40","Apr 24, 2024 14:01:16.678943000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"41","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"42","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"43","Apr 24, 2024 14:01:16.678995000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"44","Apr 24, 2024 14:01:16.680300000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"45","Apr 24, 2024 14:01:16.680531000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"46","Apr 24, 2024 14:01:16.680934000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","160"
"47","Apr 24, 2024 14:01:16.682306000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"48","Apr 24, 2024 14:01:16.682493000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"49","Apr 24, 2024 14:01:16.682708000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"50","Apr 24, 2024 14:01:16.684203000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","165"
"51","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"52","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"53","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"54","Apr 24, 2024 14:01:16.684456000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"55","Apr 24, 2024 14:01:16.684457000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"56","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"57","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"58","Apr 24, 2024 14:01:16.684498000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"59","Apr 24, 2024 14:01:16.684879000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"60","Apr 24, 2024 14:01:16.685869000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"61","Apr 24, 2024 14:01:16.685869000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"62","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"63","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"64","Apr 24, 2024 14:01:16.686111000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"65","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"66","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"67","Apr 24, 2024 14:01:16.686158000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"68","Apr 24, 2024 14:01:16.686159000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"69","Apr 24, 2024 14:01:16.686225000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"70","Apr 24, 2024 14:01:16.686739000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"71","Apr 24, 2024 14:01:16.687463000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"72","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"73","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"74","Apr 24, 2024 14:01:16.687644000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"75","Apr 24, 2024 14:01:16.687708000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"76","Apr 24, 2024 14:01:16.687708000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","102"
"77","Apr 24, 2024 14:01:16.688052000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"78","Apr 24, 2024 14:01:16.839225000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","299"
"79","Apr 24, 2024 14:01:16.842756000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","72"
"80","Apr 24, 2024 14:01:16.844601000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1395"
"81","Apr 24, 2024 14:01:16.844601000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"82","Apr 24, 2024 14:01:16.844637000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"83","Apr 24, 2024 14:01:16.844637000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"84","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"85","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"86","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"87","Apr 24, 2024 14:01:16.844686000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"88","Apr 24, 2024 14:01:16.844745000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"89","Apr 24, 2024 14:01:16.844745000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"90","Apr 24, 2024 14:01:16.844877000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"91","Apr 24, 2024 14:01:16.844877000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"92","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"93","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"94","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"95","Apr 24, 2024 14:01:16.844936000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"96","Apr 24, 2024 14:01:16.844937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"97","Apr 24, 2024 14:01:16.844951000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","78"
"98","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"99","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"100","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"101","Apr 24, 2024 14:01:16.844993000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"102","Apr 24, 2024 14:01:16.845089000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","73"
"103","Apr 24, 2024 14:01:16.846844000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"104","Apr 24, 2024 14:01:16.846844000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"105","Apr 24, 2024 14:01:16.846845000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"106","Apr 24, 2024 14:01:16.846845000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1020"
"107","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1392"
"108","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"109","Apr 24, 2024 14:01:16.846886000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"110","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"111","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"112","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"113","Apr 24, 2024 14:01:16.846937000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"114","Apr 24, 2024 14:01:16.846938000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"115","Apr 24, 2024 14:01:16.846968000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"116","Apr 24, 2024 14:01:16.846987000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"117","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"118","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"119","Apr 24, 2024 14:01:16.846988000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"120","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"121","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"122","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"123","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"124","Apr 24, 2024 14:01:16.847042000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"125","Apr 24, 2024 14:01:16.847099000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"126","Apr 24, 2024 14:01:16.847130000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"127","Apr 24, 2024 14:01:16.847589000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"128","Apr 24, 2024 14:01:16.847648000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"129","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"130","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"131","Apr 24, 2024 14:01:16.847786000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"132","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"133","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"134","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","954"
"135","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1392"
"136","Apr 24, 2024 14:01:16.847833000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"137","Apr 24, 2024 14:01:16.847843000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"138","Apr 24, 2024 14:01:16.847880000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"139","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"140","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"141","Apr 24, 2024 14:01:16.847881000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"142","Apr 24, 2024 14:01:16.847933000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"143","Apr 24, 2024 14:01:16.847975000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"144","Apr 24, 2024 14:01:16.848216000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"145","Apr 24, 2024 14:01:16.848291000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"146","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"147","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"148","Apr 24, 2024 14:01:16.848391000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"149","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"150","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"151","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"152","Apr 24, 2024 14:01:16.848439000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"153","Apr 24, 2024 14:01:16.848447000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"154","Apr 24, 2024 14:01:16.848513000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"155","Apr 24, 2024 14:01:16.850200000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"156","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"157","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"158","Apr 24, 2024 14:01:16.850422000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"159","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"160","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"161","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"162","Apr 24, 2024 14:01:16.850467000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"163","Apr 24, 2024 14:01:16.850506000 CEST","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","172.217.18.22","17","75"
"164","Apr 24, 2024 14:01:16.850517000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"165","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","959"
"166","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1392"
"167","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"168","Apr 24, 2024 14:01:16.850518000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"169","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"170","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"171","Apr 24, 2024 14:01:16.850571000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"172","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"173","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"174","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"175","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"176","Apr 24, 2024 14:01:16.850621000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"177","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"178","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
"179","Apr 24, 2024 14:01:16.850672000 CEST","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","172.217.18.22","172.16.31.14","17","1399"
