frame.number,frame.time_epoch,eth.src,eth.dst,ip.src,ip.dst,ip.proto,frame.len,frame.protocols
"1756","1714740716.786064000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1757","1714740716.786064000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1758","1714740716.786107000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1759","1714740716.786107000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1760","1714740716.786107000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1761","1714740716.786107000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1762","1714740716.786157000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1763","1714740716.786157000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1764","1714740716.786157000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1765","1714740716.786157000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1766","1714740716.786195000","90:1b:0e:28:fe:66","02:02:02:5c:e8:57","172.16.31.14","74.125.162.166","17","75","eth:ethertype:ip:udp:data"
"1767","1714740716.786208000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1768","1714740716.786208000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1769","1714740716.786208000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1770","1714740716.786208000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1771","1714740716.786208000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1772","1714740716.786259000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1773","1714740716.786259000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1774","1714740716.786259000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1775","1714740716.786311000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1776","1714740716.786311000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1777","1714740716.786311000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1778","1714740716.786311000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1779","1714740716.786311000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1780","1714740716.786364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1781","1714740716.786364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","960","eth:ethertype:ip:udp:data"
"1782","1714740716.786364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1392","eth:ethertype:ip:udp:data"
"1783","1714740716.786364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1784","1714740716.786364000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
"1785","1714740716.786409000","02:02:02:5c:e8:57","90:1b:0e:28:fe:66","74.125.162.166","172.16.31.14","17","1399","eth:ethertype:ip:udp:data"
